wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/100 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                
{'loss': 11091.25, 'learning_rate': 7.734740790612137e-06, 'loss_full': 11055.0, 'loss_slot_feat': 0.0026702880859375, 'loss_slot_attn': 0.269287109375, 'loss_stop': -0.91015625, 'loss_div': 0.0, 'loss_inpaint': 100021.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 65884.0, 'learning_rate': 7.594847868906076e-06, 'loss_full': 66296.0, 'loss_slot_feat': 0.00263214111328125, 'loss_slot_attn': 0.5986328125, 'loss_stop': -0.900390625, 'loss_div': 0.0, 'loss_inpaint': 72000.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 9308.0, 'learning_rate': 7.452117519152542e-06, 'loss_full': 9212.0, 'loss_slot_feat': 0.00266265869140625, 'loss_slot_attn': 0.21337890625, 'loss_stop': -0.908203125, 'loss_div': 0.0, 'loss_inpaint': 28384.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 73536.0, 'learning_rate': 7.30670581489344e-06, 'loss_full': 76416.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.308349609375, 'loss_stop': -0.8984375, 'loss_div': 0.0, 'loss_inpaint': 66594.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 61248.0, 'learning_rate': 7.158771761692464e-06, 'loss_full': 61632.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.4453125, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 6077.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 33600.0, 'learning_rate': 7.008477123264849e-06, 'loss_full': 33024.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.3348388671875, 'loss_stop': -0.8984375, 'loss_div': 0.0, 'loss_inpaint': 11136.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 63808.0, 'learning_rate': 6.855986244591104e-06, 'loss_full': 63872.0, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 1.165283203125, 'loss_stop': -0.900390625, 'loss_div': 0.0, 'loss_inpaint': 65728.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 107302.25, 'learning_rate': 6.701465872208216e-06, 'loss_full': 109607.0, 'loss_slot_feat': 0.00263214111328125, 'loss_slot_attn': 0.1875, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 14144.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 12506.0, 'learning_rate': 6.545084971874738e-06, 'loss_full': 12612.0, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 0.1416015625, 'loss_stop': -0.927734375, 'loss_div': 0.0, 'loss_inpaint': 9588.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 49408.0, 'learning_rate': 6.387014543809224e-06, 'loss_full': 50048.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.2255859375, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 24704.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 65216.0, 'learning_rate': 6.227427435703997e-06, 'loss_full': 65536.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.5458984375, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 28942.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 4810.0, 'learning_rate': 6.066498153718735e-06, 'loss_full': 4815.0, 'loss_slot_feat': 0.002655029296875, 'loss_slot_attn': 0.40869140625, 'loss_stop': -0.89453125, 'loss_div': 0.0, 'loss_inpaint': 264.5, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 63168.0, 'learning_rate': 5.904402671660551e-06, 'loss_full': 63680.0, 'loss_slot_feat': 0.00270843505859375, 'loss_slot_attn': 0.22119140625, 'loss_stop': -0.8984375, 'loss_div': 0.0, 'loss_inpaint': 75328.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 119184.0, 'learning_rate': 5.74131823855921e-06, 'loss_full': 119504.0, 'loss_slot_feat': 0.002532958984375, 'loss_slot_attn': 0.5390625, 'loss_stop': -0.87890625, 'loss_div': 0.0, 'loss_inpaint': 63648.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 52551.5, 'learning_rate': 5.577423184847932e-06, 'loss_full': 53061.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.2099609375, 'loss_stop': -0.89453125, 'loss_div': 0.0, 'loss_inpaint': 100608.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 70720.0, 'learning_rate': 5.412896727361663e-06, 'loss_full': 71168.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.39453125, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 49856.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 69939.0, 'learning_rate': 5.247918773366112e-06, 'loss_full': 69681.75, 'loss_slot_feat': 0.002716064453125, 'loss_slot_attn': 0.357666015625, 'loss_stop': -0.89453125, 'loss_div': 0.0, 'loss_inpaint': 25600.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 25652.0, 'learning_rate': 5.082669723831793e-06, 'loss_full': 26204.0, 'loss_slot_feat': 0.00255584716796875, 'loss_slot_attn': 0.39013671875, 'loss_stop': -0.83203125, 'loss_div': 0.0, 'loss_inpaint': 21376.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 14304.0, 'learning_rate': 4.917330276168208e-06, 'loss_full': 13280.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.08465576171875, 'loss_stop': -0.876953125, 'loss_div': 0.0, 'loss_inpaint': 64256.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 1804.0, 'learning_rate': 4.752081226633888e-06, 'loss_full': 1708.0, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 0.14569091796875, 'loss_stop': -0.8984375, 'loss_div': 0.0, 'loss_inpaint': 33664.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 2452.0, 'learning_rate': 4.587103272638339e-06, 'loss_full': 2320.0, 'loss_slot_feat': 0.0025634765625, 'loss_slot_attn': 0.1220703125, 'loss_stop': -0.892578125, 'loss_div': 0.0, 'loss_inpaint': 68736.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 42016.0, 'learning_rate': 4.42257681515207e-06, 'loss_full': 42656.0, 'loss_slot_feat': 0.00266265869140625, 'loss_slot_attn': 0.23974609375, 'loss_stop': -0.876953125, 'loss_div': 0.0, 'loss_inpaint': 11296.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 69415.0, 'learning_rate': 4.25868176144079e-06, 'loss_full': 69562.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.546875, 'loss_stop': -0.875, 'loss_div': 0.0, 'loss_inpaint': 164352.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 23581.0, 'learning_rate': 4.0955973283394525e-06, 'loss_full': 21346.0, 'loss_slot_feat': 0.0025787353515625, 'loss_slot_attn': 0.517578125, 'loss_stop': -0.900390625, 'loss_div': 0.0, 'loss_inpaint': 30912.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 96512.0, 'learning_rate': 3.9335018462812664e-06, 'loss_full': 93440.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 0.06597900390625, 'loss_stop': -0.908203125, 'loss_div': 0.0, 'loss_inpaint': 65504.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
