image_id,dataset_idx,object_idx,layer,distance_bin,patch_count,cosine_distance,relative_l2
1000,9,0,27,mid_5_8,138,0.03436572477221489,0.1977308839559555
1000,9,0,27,far_gt8,646,0.036099873483181,0.19442836940288544
1268,10,1,0,inside,23,0.01166644785553217,0.14999409019947052
1268,10,1,0,ring_1,28,-2.554484801464696e-08,0.0
1268,10,1,0,near_2_4,85,-6.3110801029608865e-09,0.0
1268,10,1,0,mid_5_8,189,3.1536848688062946e-09,0.0
1268,10,1,0,far_gt8,699,2.899224416097468e-09,0.0
1268,10,1,1,inside,23,0.029981685802340508,0.2393907606601715
1268,10,1,1,ring_1,28,5.349516868591309e-06,0.003212438430637121
1268,10,1,1,near_2_4,85,2.576323140601744e-06,0.002235925290733576
1268,10,1,1,mid_5_8,189,1.582834443070169e-06,0.001749627641402185
1268,10,1,1,far_gt8,699,1.9098215489066206e-06,0.0017623318126425147
1268,10,1,2,inside,23,0.2009975165128708,0.623081386089325
1268,10,1,2,ring_1,28,0.00223629386164248,0.05662745237350464
1268,10,1,2,near_2_4,85,0.0001465117238694802,0.016115577891469002
1268,10,1,2,mid_5_8,189,6.615043093916029e-05,0.010980118066072464
1268,10,1,2,far_gt8,699,3.356014349265024e-05,0.007649119943380356
1268,10,1,3,inside,23,0.3481162190437317,0.82419753074646
1268,10,1,3,ring_1,28,0.01799234375357628,0.15799550712108612
1268,10,1,3,near_2_4,85,0.0007856565644033253,0.03670801967382431
1268,10,1,3,mid_5_8,189,0.00039405483403243124,0.025543000549077988
1268,10,1,3,far_gt8,699,0.00011747546523110941,0.013506845571100712
1268,10,1,4,inside,23,0.41930603981018066,0.907267689704895
1268,10,1,4,ring_1,28,0.03648229315876961,0.23740802705287933
1268,10,1,4,near_2_4,85,0.0013852511765435338,0.04783345386385918
1268,10,1,4,mid_5_8,189,0.0006767079466953874,0.03303717449307442
1268,10,1,4,far_gt8,699,0.00017878724611364305,0.01663885824382305
1268,10,1,5,inside,23,0.43309250473976135,0.9246906042098999
1268,10,1,5,ring_1,28,0.05223545804619789,0.2931584417819977
1268,10,1,5,near_2_4,85,0.0022145966067910194,0.061864279210567474
1268,10,1,5,mid_5_8,189,0.0010120979277417064,0.04131627455353737
1268,10,1,5,far_gt8,699,0.00026679609436541796,0.020793385803699493
1268,10,1,6,inside,23,0.4922564625740051,0.9871990084648132
1268,10,1,6,ring_1,28,0.0808749869465828,0.3696577250957489
1268,10,1,6,near_2_4,85,0.004032771568745375,0.08152283728122711
1268,10,1,6,mid_5_8,189,0.001417533727362752,0.04835755378007889
1268,10,1,6,far_gt8,699,0.0003460526349954307,0.023695291951298714
1268,10,1,7,inside,23,0.5086774826049805,1.0037823915481567
1268,10,1,7,ring_1,28,0.09065719693899155,0.3915805518627167
