image_id,variant,foreground_mse,background_mse,foreground_psnr,background_psnr
18737,RAE_self_only,0.07579044997692108,0.26069849729537964,11.203855514526367,5.838614463806152
18737,hybrid_original_OVT_masked_register,0.1283608078956604,0.05836758762598038,8.915675163269043,12.33828353881836
18833,R0_unrestricted,0.10032173246145248,0.06992336362600327,9.98604965209961,11.553777694702148
18833,R1_post_siglip_all,0.09517350792884827,0.09517902135848999,10.214838981628418,10.214587211608887
18833,R1_post_siglip_register_only,0.11046037822961807,0.0858243927359581,9.567934036254883,10.66389274597168
18833,pre_siglip_masked_register_only,0.11238967627286911,0.08669610321521759,9.492735862731934,10.620003700256348
18833,RAE_self_only,0.10891694575548172,0.13960468769073486,9.629046440124512,8.551000595092773
18833,hybrid_original_OVT_masked_register,0.0893239676952362,0.09124341607093811,10.490320205688477,10.397985458374023
19742,R0_unrestricted,0.08945140242576599,0.0954090878367424,10.484128952026367,10.204103469848633
19742,R1_post_siglip_all,0.08244816213846207,0.06960491836071014,10.838190078735352,11.573600769042969
19742,R1_post_siglip_register_only,0.08738590031862259,0.07546832412481308,10.585586547851562,11.222352981567383
19742,pre_siglip_masked_register_only,0.11609545350074768,0.08072163164615631,9.351847648620605,10.930100440979004
19742,RAE_self_only,0.03417127579450607,0.10041382163763046,14.663389205932617,9.982065200805664
19742,hybrid_original_OVT_masked_register,0.09851914644241333,0.07126213610172272,10.064793586730957,11.471412658691406
20247,R0_unrestricted,0.2251727133989334,0.04221551865339279,6.474842548370361,13.745278358459473
20247,R1_post_siglip_all,0.26640966534614563,0.03886330872774124,5.744500160217285,14.104602813720703
20247,R1_post_siglip_register_only,0.27289989590644836,0.03912307322025299,5.63996696472168,14.07567024230957
20247,pre_siglip_masked_register_only,0.12672357261180878,0.024267204105854034,8.971426010131836,16.149803161621094
20247,RAE_self_only,0.09422241151332855,0.1552383303642273,10.258459091186523,8.090010643005371
20247,hybrid_original_OVT_masked_register,0.08636274188756943,0.025063807144761086,10.636735916137695,16.00952911376953
22192,R0_unrestricted,0.05269288271665573,0.07529396563768387,12.782480239868164,11.232398986816406
22192,R1_post_siglip_all,0.06128203123807907,0.07740263640880585,12.126668930053711,11.112442970275879
