area_frac,bg_map_on_self_mean,category,image_id,is_thing,map_inside_mean,map_neutral_mass_frac,map_neutral_mean,map_other_region_mass_frac,map_other_region_mean,map_outside_mass_frac,map_outside_mean,map_self_mass_frac,object_index,own_gt_patch_win_frac,sample_index,size_bucket
0.0029296875,0.003785807406529784,"potted plant",139,True,3.222899613319896e-05,0.6135362386703491,0.0006866661715321243,0.3863671123981476,0.0030303304083645344,0.9999033808708191,0.000979337259195745,9.668698476161808e-05,10,0.6666666865348816,0,"tiny"
0.001708984375,0.0017114306101575494,"clock",139,True,0.4569461941719055,0.0010141903767362237,1.1350759905326413e-06,0.19933004677295685,0.0015481945592910051,0.2003442496061325,0.00019598360813688487,0.7996558547019958,11,1.0,0,"tiny"
0.0009765625,0.0010688495822250843,"vase",139,True,0.004449483472853899,0.1475803554058075,0.0001651710772421211,0.847970187664032,0.006548032164573669,0.9955505132675171,0.0009731676545925438,0.004449483472853899,12,0.0,0,"tiny"
0.0009765625,0.0007017680909484625,"vase",139,True,0.007161049637943506,0.12101129442453384,0.0001354351406916976,0.8718277215957642,0.006732260342687368,0.992838978767395,0.0009705171105451882,0.007161049637943506,13,1.0,0,"tiny"
0.266845703125,0.0008250331156887114,"person",58705,True,0.0033595035783946514,9.395118468091823e-06,1.9371375614696262e-08,0.08200623840093613,0.0003085841308347881,0.08201563358306885,0.00010924492380581796,0.9179844260215759,0,0.3751143515110016,500,"large"
0.234375,0.0010252065258100629,"person",58705,True,0.0018674952443689108,3.4315355151193216e-05,7.075331609485147e-08,0.5517668128013611,0.0018300724914297462,0.5518010854721069,0.0007038280018605292,0.4481987953186035,1,0.06875000149011612,500,"large"
0.02734375,0.0017068377928808331,"tie",58705,True,0.03124154545366764,0.00038631109055131674,7.96517724666046e-07,0.12486283481121063,0.00024316033523064107,0.12523669004440308,0.00012573965068440884,0.8747632503509521,2,0.2678571343421936,500,"small"
0.000244140625,0.008081510663032532,"banana",58705,True,0.0003179820778314024,0.0011618977878242731,2.395665433141403e-06,0.9987585544586182,0.0018538441509008408,0.9999204874038696,0.000976723269559443,7.94955194578506e-05,3,1.0,500,"tiny"
0.07373046875,0.0010026419768109918,"oven",127182,True,0.012688971124589443,0.041812583804130554,5.471061012940481e-05,0.0001701813016552478,9.236434266313154e-07,0.04198276251554489,4.4262269511818886e-05,0.9580172896385193,0,0.1754966825246811,1020,"medium"
0.104736328125,0.000947548367548734,"refrigerator",127182,True,0.006121436133980751,0.0192422978579998,2.5178014766424894e-05,0.3242338001728058,0.0021261232905089855,0.3434760868549347,0.0003746671136468649,0.6565240025520325,1,0.3916083872318268,1020,"large"
0.0458984375,0.0011928699677810073,"microwave",127182,True,0.017324117943644524,0.0038776302244514227,5.073772172181634e-06,0.18188883364200592,0.0008549416670575738,0.18576645851135254,0.00019013967539649457,0.8142335414886475,2,0.38297873735427856,1020,"medium"
0.0224609375,0.0024805825669318438,"potted plant",127182,True,0.03478611260652542,0.006394632160663605,8.367199370695744e-06,0.19352486729621887,0.0008174228714779019,0.19991949200630188,0.00019971976871602237,0.8000805974006653,3,1.0,1020,"small"
0.001953125,0.0034148902632296085,"knife",127182,True,0.4033469259738922,0.0034072925336658955,4.458348485059105e-06,0.18989890813827515,0.0007367563084699214,0.19330622255802155,0.00018914506654255092,0.8066937327384949,4,0.0,1020,"tiny"
0.00146484375,0.0031437845900654793,"knife",127182,True,0.04281768202781677,0.044124528765678406,5.773573138867505e-05,0.8916488289833069,0.00345265818759799,0.9357734322547913,0.0009151819394901395,0.06422651559114456,5,0.6666666865348816,1020,"tiny"
0.0009765625,0.001342569012194872,"knife",127182,True,0.005343911703675985,0.4220265746116638,0.0005522100836969912,0.5726295709609985,0.002213061088696122,0.9946560859680176,0.0009722933173179626,0.005343911703675985,6,1.0,1020,"tiny"
