wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/100000 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                       
{'loss': 4825.5, 'learning_rate': 9.2e-08, 'loss_full': 4822.0, 'loss_slot_feat': 0.002685546875, 'loss_slot_attn': 0.402099609375, 'loss_stop': -0.912109375, 'loss_div': 0.0, 'loss_inpaint': 263.5, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 82352.0, 'learning_rate': 9.400000000000001e-08, 'loss_full': 59264.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.238037109375, 'loss_stop': -0.892578125, 'loss_div': 0.0, 'loss_inpaint': 74560.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 119392.0, 'learning_rate': 9.6e-08, 'loss_full': 119632.0, 'loss_slot_feat': 0.00270843505859375, 'loss_slot_attn': 0.5361328125, 'loss_stop': -0.8828125, 'loss_div': 0.0, 'loss_inpaint': 64164.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 55118.25, 'learning_rate': 9.8e-08, 'loss_full': 55379.0, 'loss_slot_feat': 0.00270843505859375, 'loss_slot_attn': 0.240234375, 'loss_stop': -0.857421875, 'loss_div': 0.0, 'loss_inpaint': 103936.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 72832.0, 'learning_rate': 1.0000000000000001e-07, 'loss_full': 71552.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.431640625, 'loss_stop': -0.8828125, 'loss_div': 0.0, 'loss_inpaint': 50496.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 73274.125, 'learning_rate': 1.0200000000000001e-07, 'loss_full': 72249.75, 'loss_slot_feat': 0.0025482177734375, 'loss_slot_attn': 0.34423828125, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 26048.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 24422.0, 'learning_rate': 1.04e-07, 'loss_full': 24692.0, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 0.40625, 'loss_stop': -0.89453125, 'loss_div': 0.0, 'loss_inpaint': 21676.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 14160.0, 'learning_rate': 1.0600000000000001e-07, 'loss_full': 13280.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.0838623046875, 'loss_stop': -0.8828125, 'loss_div': 0.0, 'loss_inpaint': 64032.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 2150.0, 'learning_rate': 1.0800000000000001e-07, 'loss_full': 2284.0, 'loss_slot_feat': 0.002655029296875, 'loss_slot_attn': 0.1441650390625, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 33680.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 2488.0, 'learning_rate': 1.1e-07, 'loss_full': 2376.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.112548828125, 'loss_stop': -0.93359375, 'loss_div': 0.0, 'loss_inpaint': 69760.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 56240.0, 'learning_rate': 1.1200000000000001e-07, 'loss_full': 44192.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.26220703125, 'loss_stop': -0.890625, 'loss_div': 0.0, 'loss_inpaint': 11104.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 80016.0, 'learning_rate': 1.1400000000000001e-07, 'loss_full': 92280.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.537109375, 'loss_stop': -0.818359375, 'loss_div': 0.0, 'loss_inpaint': 163840.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 23524.0, 'learning_rate': 1.16e-07, 'loss_full': 23288.0, 'loss_slot_feat': 0.00272369384765625, 'loss_slot_attn': 0.54248046875, 'loss_stop': -0.82421875, 'loss_div': 0.0, 'loss_inpaint': 30912.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 100224.0, 'learning_rate': 1.1800000000000001e-07, 'loss_full': 99584.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.06048583984375, 'loss_stop': -0.86328125, 'loss_div': 0.0, 'loss_inpaint': 65184.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 58496.0, 'learning_rate': 1.2000000000000002e-07, 'loss_full': 44032.0, 'loss_slot_feat': 0.0026702880859375, 'loss_slot_attn': 0.43408203125, 'loss_stop': -0.8671875, 'loss_div': 0.0, 'loss_inpaint': 43856.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 18720.0, 'learning_rate': 1.22e-07, 'loss_full': 16224.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.1368408203125, 'loss_stop': -0.87890625, 'loss_div': 0.0, 'loss_inpaint': 42752.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 171008.0, 'learning_rate': 1.24e-07, 'loss_full': 170496.0, 'loss_slot_feat': 0.0025787353515625, 'loss_slot_attn': 0.0859375, 'loss_stop': -0.884765625, 'loss_div': 0.0, 'loss_inpaint': 12752.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 89856.0, 'learning_rate': 1.2600000000000002e-07, 'loss_full': 89216.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.20709228515625, 'loss_stop': -0.90234375, 'loss_div': 0.0, 'loss_inpaint': 18596.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 45740.0, 'learning_rate': 1.28e-07, 'loss_full': 45556.0, 'loss_slot_feat': 0.00267791748046875, 'loss_slot_attn': 0.078369140625, 'loss_stop': -0.90625, 'loss_div': 0.0, 'loss_inpaint': 1820.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 8646.0, 'learning_rate': 1.3e-07, 'loss_full': 8236.0, 'loss_slot_feat': 0.0025634765625, 'loss_slot_attn': 0.086181640625, 'loss_stop': -0.908203125, 'loss_div': 0.0, 'loss_inpaint': 5749.5, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 41696.0, 'learning_rate': 1.3200000000000002e-07, 'loss_full': 34368.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.1204833984375, 'loss_stop': -0.83984375, 'loss_div': 0.0, 'loss_inpaint': 36064.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 24870.5, 'learning_rate': 1.34e-07, 'loss_full': 24781.0, 'loss_slot_feat': 0.00266265869140625, 'loss_slot_attn': 0.3994140625, 'loss_stop': -0.900390625, 'loss_div': 0.0, 'loss_inpaint': 49048.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 2910.0, 'learning_rate': 1.36e-07, 'loss_full': 3026.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 0.1923828125, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 4941.25, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 25699.5, 'learning_rate': 1.3800000000000002e-07, 'loss_full': 23935.0, 'loss_slot_feat': 0.00254058837890625, 'loss_slot_attn': 0.08148193359375, 'loss_stop': -0.880859375, 'loss_div': 0.0, 'loss_inpaint': 71328.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 70480.0, 'learning_rate': 1.4e-07, 'loss_full': 71616.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.4486083984375, 'loss_stop': -0.869140625, 'loss_div': 0.0, 'loss_inpaint': 3953.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 25440.0, 'learning_rate': 1.4200000000000003e-07, 'loss_full': 25008.0, 'loss_slot_feat': 0.00258636474609375, 'loss_slot_attn': 2.375, 'loss_stop': -0.830078125, 'loss_div': 0.0, 'loss_inpaint': 48128.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 9344.0, 'learning_rate': 1.4400000000000002e-07, 'loss_full': 7040.0, 'loss_slot_feat': 0.00267791748046875, 'loss_slot_attn': 0.357666015625, 'loss_stop': -0.873046875, 'loss_div': 0.0, 'loss_inpaint': 121216.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 48896.0, 'learning_rate': 1.46e-07, 'loss_full': 47872.0, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 1.027099609375, 'loss_stop': -0.771484375, 'loss_div': 0.0, 'loss_inpaint': 46720.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 7056.0, 'learning_rate': 1.4800000000000003e-07, 'loss_full': 7408.0, 'loss_slot_feat': 0.002655029296875, 'loss_slot_attn': 1.2109375, 'loss_stop': -0.880859375, 'loss_div': 0.0, 'loss_inpaint': 175264.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 68512.0, 'learning_rate': 1.5000000000000002e-07, 'loss_full': 67696.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.38671875, 'loss_stop': -0.88671875, 'loss_div': 0.0, 'loss_inpaint': 56625.25, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 60416.0, 'learning_rate': 1.52e-07, 'loss_full': 59008.0, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 0.20703125, 'loss_stop': -0.884765625, 'loss_div': 0.0, 'loss_inpaint': 40488.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 125184.0, 'learning_rate': 1.5400000000000003e-07, 'loss_full': 127232.0, 'loss_slot_feat': 0.0025787353515625, 'loss_slot_attn': 0.6025390625, 'loss_stop': -0.912109375, 'loss_div': 0.0, 'loss_inpaint': 132256.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 10667.5, 'learning_rate': 1.56e-07, 'loss_full': 9665.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.245361328125, 'loss_stop': -0.87890625, 'loss_div': 0.0, 'loss_inpaint': 46102.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 182528.0, 'learning_rate': 1.5800000000000004e-07, 'loss_full': 194560.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 1.51708984375, 'loss_stop': -0.810546875, 'loss_div': 0.0, 'loss_inpaint': 154880.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 64822.0, 'learning_rate': 1.6e-07, 'loss_full': 64588.0, 'loss_slot_feat': 0.0025482177734375, 'loss_slot_attn': 0.30078125, 'loss_stop': -0.86328125, 'loss_div': 0.0, 'loss_inpaint': 81904.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 1542.75, 'learning_rate': 1.62e-07, 'loss_full': 1864.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.167724609375, 'loss_stop': -0.873046875, 'loss_div': 0.0, 'loss_inpaint': 17888.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 72128.0, 'learning_rate': 1.6400000000000004e-07, 'loss_full': 73110.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.1229248046875, 'loss_stop': -0.865234375, 'loss_div': 0.0, 'loss_inpaint': 37554.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 13351.375, 'learning_rate': 1.66e-07, 'loss_full': 13863.0, 'loss_slot_feat': 0.00258636474609375, 'loss_slot_attn': 1.025390625, 'loss_stop': -0.87890625, 'loss_div': 0.0, 'loss_inpaint': 75840.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 72576.0, 'learning_rate': 1.68e-07, 'loss_full': 55808.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.132080078125, 'loss_stop': -0.822265625, 'loss_div': 0.0, 'loss_inpaint': 9936.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 2621.25, 'learning_rate': 1.7000000000000001e-07, 'loss_full': 2846.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.2236328125, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 5479.25, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 19600.0, 'learning_rate': 1.72e-07, 'loss_full': 19328.0, 'loss_slot_feat': 0.002685546875, 'loss_slot_attn': 0.6474609375, 'loss_stop': -0.86328125, 'loss_div': 0.0, 'loss_inpaint': 2577.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 126976.0, 'learning_rate': 1.74e-07, 'loss_full': 144896.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 1.578125, 'loss_stop': -0.73828125, 'loss_div': 0.0, 'loss_inpaint': 29536.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
